Country,Value,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11
Indonesia,6.406562813,6.406562813,10.22666455,4.38641555,5.134204008,5.35604779,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807
Lao PDR,4.661972695,4.661972695,7.628808876,0.141187675,5.982545216,7.568988561,4.255126778,6.371427178,4.129243069,1.277354271,1.59691347,0.825486793
"Macao SAR, China",5.570507914,5.570507914,8.609519354,1.169351365,2.809766066,5.804468001,6.108311726,5.506786663,6.045271806,4.559202881,2.370161348,1.22655456
"Korea, Rep.",2.534846871,2.534846871,4.673795957,2.756686477,2.939181359,4.02584625,2.187221208,1.301377058,1.274714702,0.70620817,0.971674764,1.944455907
Japan,0.060039454,0.060039454,1.380078862,-1.35283673,-0.719979429,-0.267633601,-0.051939058,0.346440326,2.761954083,0.78951789,-0.116666667,0.467211747
"Hong Kong SAR, China",2.030117122,2.030117122,4.296490653,0.576519916,2.313705055,5.276561068,4.063860668,4.323570432,4.438502674,2.995391705,2.411135968,1.480582524
China,4.816765313,4.816765313,5.925255289,-0.728171334,3.175327981,5.553897059,2.619526165,2.621049027,1.921643416,1.437024514,2,1.593137255
Brunei Darussalam,0.96777412,0.96777412,2.084980237,1.035717743,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.415121926,-0.739068722,-0.171311525
Australia,2.327611289,2.327611289,4.35029855,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409
Mongolia,9.637206329,9.637206329,27.9664723,7.586717549,10.07991843,8.409175072,14.31760204,10.48814505,12.22544812,6.580057365,1.05535328,4.050499281
Thailand,2.241540953,2.241540953,5.468489496,-0.845716092,3.247588424,3.808790581,3.014899503,2.184886185,1.895141819,-0.900424963,0.188149704,0.665631893
Vietnam,8.30378949,8.30378949,23.11631629,7.054558499,8.861600361,18.67550042,9.094216079,6.592255898,4.710018434,0.878603714,3.243567431,3.520256888
Malaysia,2.027353178,2.027353178,5.440782211,0.583308406,1.622852356,3.174470922,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595,3.871201158
New Zealand,2.376143103,2.376143103,3.958949373,2.115651106,2.30202386,4.027906674,1.059913184,1.134422664,1.227507506,0.292704628,0.646240284,1.850787675
Papua New Guinea,0.911350456,0.911350456,10.76141823,6.918325326,6.013608936,4.44083401,4.537205082,4.96031746,5.222117202,5.995957781,6.673728814,5.42204568
Philippines,2.9,2.9,8.260447036,4.219030521,3.789836348,4.718417047,3.026963911,2.582687661,3.597823439,0.674192537,1.253698801,2.853187726
Samoa,5.577063932,5.577063932,11.56590684,6.324953362,0.777007269,5.198142928,2.049018835,0.610085721,-0.406816088,0.724980678,1.306261183,1.749896775
Singapore,2.104925808,2.104925808,6.627997246,0.596873455,2.823277186,5.247910208,4.575959852,2.358601146,1.024982528,-0.522752485,-0.532286132,0.576324696
Solomon Islands,7.666020135,7.666020135,17.3200652,7.092717169,1.051481633,7.34270706,5.912006025,5.391363886,5.165902379,-0.574469286,0.512485626,0.48868676
Tonga,5.842248749,5.842248749,10.44698751,1.426859721,3.534912392,6.27075303,1.147538537,0.775629322,2.510876333,-1.05399832,2.578155152,7.442245466
Vanuatu,3.935483871,3.935483871,4.841713222,4.29706573,2.762694695,0.873793105,1.347403629,1.458933718,0.798863838,2.483268757,0.842069084,3.084526244
