Country,Value,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,,
Indonesia,0,-6000,488.6582,322.50391,601.10742,686.06641,546.06836,956.29101,711.7793,909.88281,851.90235,492.22851,,
Lao PDR,0,-5500,346.646973,362.223145,459.618164,478.147461,511.249023,554.045894,549.20215,551.10254,538.23535,551.54004,,
"Macao SAR, China",0,-5000,-2199.4687,-2373.75,27495.9687,28579.1406,12146.3282,16672.7656,-9795.625,-48027.0469,-1700.1094,12645.5625,,
"Korea, Rep.",0,-4500,1501.07032,761.6914,3135.74219,1308.44141,424.72265,976.91406,748.75782,1183.32422,1342.89062,1358.07813,,
Japan,0,-4000,-661.48437,-2929.91406,3179.04687,42.26563,1278.8125,812.03906,-272.14063,680.28907,-25.21875,617.875,,
"Hong Kong SAR, China",0,-3500,1172.84375,-1471.17969,5983.1875,2038.67188,-145.26563,1054.90625,2197.32035,1694.9687,1711.3281,3264.6875,,
China,0,-3000,1211.61523,1280.58594,1562.60254,1516.78906,1384.45898,1477.81446,1509.4414,1547.96094,1611.50391,1766.61914,,
Brunei Darussalam,0,-2500,-6174.375,-4687.5469,1787.1719,2974.0469,-1457.0469,-6633.7188,-7014.6718,-2311.1094,-4837.9063,1088.6875,,
Australia,0,-2000,782.52343,1181.44532,-182.98438,527.52344,2388.71875,1647.92969,1662.64843,434.88282,1225.94531,211.67969,,-48027.0469
Mongolia,0,-1500,880.11133,-535.21875,1002.58398,2192.41602,2323.22461,2292.89844,1668.16797,301.60156,1308.74804,790.1836,,28579.1406
Thailand,0,-1000,152.95117,-324.58008,1685.30274,-454.84375,1617.26562,1203.41406,440.76172,858.09766,1111.37109,1023.9375,,
Vietnam,0,-500,276.202148,199.493653,265.260254,326.12207,283.229492,257.664063,380.28125,540.544922,536.819336,559.040042,,
Malaysia,0,0,1616.50781,-2029.75781,2088.37109,195.93359,522.60157,-132.17578,1378.16796,1294.19922,1364.28907,2130.24218,,
New Zealand,0,500,-1359.13281,2018.51562,323.82422,653.69922,1301.63281,-247.07031,294.89062,1899.98438,360.90625,315.13281,,
Papua New Guinea,0,1000,143.579102,854.143555,1260.427733,-109.73242,239.66406,145.78125,1516.81738,416.70899,-98.11231,-58.54785,,
Philippines,0,1500,244.58007,-277.82324,621.59766,36.99707,715.62109,776.11817,464.27246,622.81347,832.37696,1549.35351,,
Samoa,0,2000,62.36914,-1833.66211,-99.22851,1758.5664,833.30274,-1046.50196,67.29297,259.75391,2126.47265,489.28711,,
Singapore,0,2500,-3328.2344,-1728.5547,11589.0079,4421.8437,1094.3594,4421.2812,916.0625,-1053.5156,1826.4219,2569.1562,,
Solomon Islands,0,3000,205.896972,-333.522949,179.623047,508.618164,115.429688,21.749023,-16.44873,-1.000977,39.244629,26.986328,,
Tonga,0,3500,298.86133,232.81933,397.67774,321.22363,54.13477,-521.8877,199.03613,416.13672,277.02344,162.99902,,
Vanuatu,0,4000,233.839844,62.822265,-88.202148,-81.870117,-71.439942,-79.737793,-47.420898,-272.175293,93.498047,113.395996,,
