Country,Value,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11
Indonesia,17366.70703,17366.70703,17855.36523,18177.86914,18778.97656,19465.04297,20011.11133,20967.40234,21679.18164,22589.06445,23440.9668,23933.19531
Lao PDR,7375.71582,7375.71582,7722.362793,8084.585938,8544.204102,9022.351563,9533.600586,10087.64648,10636.84863,11187.95117,11726.18652,12277.72656
"Macao SAR, China",140613.625,140613.625,138414.1563,136040.4063,163536.375,192115.5156,204261.8438,220934.6094,211138.9844,163111.9375,161411.8281,174057.3906
"Korea, Rep.",56437.25781,56437.25781,57938.32813,58700.01953,61835.76172,63144.20313,63568.92578,64545.83984,65294.59766,66477.92188,67820.8125,69178.89063
Japan,72513.44531,72513.44531,71851.96094,68922.04688,72101.09375,72143.35938,73422.17188,74234.21094,73962.07031,74642.35938,74617.14063,75235.01563
"Hong Kong SAR, China",90874.74219,90874.74219,92047.58594,90576.40625,96559.59375,98598.26563,98453,99507.90625,101705.2266,103400.1953,105111.5234,108376.2109
China,12775.47559,12775.47559,13987.09082,15267.67676,16830.2793,18347.06836,19731.52734,21209.3418,22718.7832,24266.74414,25878.24805,27644.86719
Brunei Darussalam,184566.4219,184566.4219,178392.0469,173704.5,175491.6719,178465.7188,177008.6719,170374.9531,163360.2813,161049.1719,156211.2656,157299.9531
Australia,80314.17188,80314.17188,81096.69531,82278.14063,82095.15625,82622.67969,85011.39844,86659.32813,88321.97656,88756.85938,89982.80469,90194.48438
Mongolia,17787.23828,17787.23828,18667.34961,18132.13086,19134.71484,21327.13086,23650.35547,25943.25391,27611.42188,27913.02344,29221.77148,30011.95508
Thailand,21911.04297,21911.04297,22063.99414,21739.41406,23424.7168,22969.87305,24587.13867,25790.55273,26231.31445,27089.41211,28200.7832,29224.7207
Vietnam,6925.5,6925.5,7201.702148,7401.195801,7666.456055,7992.578125,8275.807617,8533.47168,8913.75293,9454.297852,9991.117188,10550.15723
Malaysia,48510.72266,48510.72266,50127.23047,48097.47266,50185.84375,50381.77734,50904.37891,50772.20313,52150.37109,53444.57031,54808.85938,56939.10156
New Zealand,63064.96094,63064.96094,61705.82813,63724.34375,64048.16797,64701.86719,66003.5,65756.42969,66051.32031,67951.30469,68312.21094,68627.34375
Papua New Guinea,8680.21582,8680.21582,8823.794922,9677.938477,10938.36621,10828.63379,11068.29785,11214.0791,12730.89648,13147.60547,13049.49316,12990.94531
Philippines,13530.97559,13530.97559,13775.55566,13497.73242,14119.33008,14156.32715,14871.94824,15648.06641,16112.33887,16735.15234,17567.5293,19116.88281
Samoa,30302.28125,30302.28125,30364.65039,28530.98828,28431.75977,30190.32617,31023.62891,29977.12695,30044.41992,30304.17383,32430.64648,32919.93359
Singapore,129597.125,129597.125,126268.8906,124540.3359,136129.3438,140551.1875,141645.5469,146066.8281,146982.8906,145929.375,147755.7969,150324.9531
Solomon Islands,4392.646973,4392.646973,4598.543945,4265.020996,4444.644043,4953.262207,5068.691895,5090.440918,5073.992188,5072.991211,5112.23584,5139.222168
Tonga,12508.49707,12508.49707,12807.3584,13040.17773,13437.85547,13759.0791,13813.21387,13291.32617,13490.3623,13906.49902,14183.52246,14346.52148
Vanuatu,6976.063965,6976.063965,7209.903809,7272.726074,7184.523926,7102.653809,7031.213867,6951.476074,6904.055176,6631.879883,6725.37793,6838.773926
